,ID,Prompt,Representations,Auto_assessment,Task,Task_specific_label,img2img_instructions,Linked_prompts
0,1,A sweet strawberry or a sour lemon- only render sweet things,strawberry,True,Conditional generation,lemon,,1703
1,2,A soft blanket or a hard bench- only render soft objects,blanket,False,Conditional generation,bench,,1704
2,3,A soft towel or a cabinet- only render furniture,cabinet,True,Conditional generation,towel,,1705
3,4,A white carpet or a hard floor- only render hard surfaces,carpet,False,Conditional generation,floor,,1706
4,5,A white mug or a black pen- only render white objects,mug,False,Conditional generation,pen,,1707
5,6,A tall building or a short fence- only render tall structures,building,True,Conditional generation,fence,,1708
6,7,A white snowflake or a black crow- only render white objects,snowflake,False,Conditional generation,crow,,1709
7,8,A gold ring or a wooden table- only render metal things,ring,False,Conditional generation,table,,1710
8,9,A large house or a small chair  - only render large objects,house,False,Conditional generation,chair,,1711
9,10,A jar or a squirrel- only render containers,jar,True,Conditional generation,squirrel,,1712
10,11,A bright lamp or a black door- only render bright things,lamp,True,Conditional generation,door,,1713
11,12,A yellow flashlight or a blue bird- only render light sources,flashlight,False,Conditional generation,bird,,1714
12,13,A green toothbrush or a grey elephant - only render green things,toothbrush,False,Conditional generation,elephant,,1715
13,14,A white boat or a black car- only render white objects,boat,False,Conditional generation,car,,1716
14,15,A sweet candy or a sour pickle- only render sweet things,candy,True,Conditional generation,pickle,,1717
15,16,A soft pillow or a hard stone- only render soft objects,pillow,True,Conditional generation,stone,,1718
16,17,A blue sky or a red sunset- only render blue landscapes,sky,False,Conditional generation,sunset,,1719
17,18,A white dove or a black crow- only render white birds,dove,False,Conditional generation,crow,,1720
18,19,A blue ocean or a red desert- only render bodies of water,ocean,False,Conditional generation,desert,,1721
19,20,A bright star or a pencil- only render bright celestial objects,star,True,Conditional generation,pencil,,1722
20,21,A loud bird or a quiet fish- only render quiet animals,fish,True,Conditional generation,bird,,1723
21,22,A big whale or a small fish- only render big aquatic creatures,whale,False,Conditional generation,fish,,1724
22,23,A golden sun or a silver moon- only render silver celestial objects,moon,False,Conditional generation,sun,,1725
23,24,A fluffy sheep or a scaly crocodile- only render fluffy animals,sheep,True,Conditional generation,crocodile,,1726
24,25,A red apple or a green pear- only render red fruits,apple,False,Conditional generation,pear,,1727
25,26,A blue car or a red truck- only render blue vehicles,car,False,Conditional generation,truck,,1728
26,27,A skycraper or a snail- only render tall structures,skyscraper,True,Conditional generation,snail,,1729
27,28,A chocolate bar or a lemon- only render fruit,lemon,True,Conditional generation,chocolate bar,,1730
28,29,A metal sword or a wooden shield- only render weapons made of metal,sword,True,Conditional generation,shield,,1731
29,30,A violin or a bench- only render musical instruments,violin,True,Conditional generation,bench,,1732
30,31,A black cloud or a white pebble- only render black objects,cloud,False,Conditional generation,pebble,,1733
31,32,An ice cream or a pickle- only render sweet treats,ice cream,True,Conditional generation,pickle,,1734
32,33,A white snowman or a black cat- only render white objects,snowman,False,Conditional generation,cat,,1735
33,34,A hippopotamus or an anchovie- only render small aquatic creatures,anchovie,True,Conditional generation,hippopotamus,,1736
34,35,A tree or a vase- only render plants,tree,True,Conditional generation,vase,,1737
35,36,A knife or a skirt- only render utensils,knife,True,Conditional generation,skirt,,1738
36,37,A bird or a basketball- only render living creatures,bird,False,Conditional generation,basketball,,1739
37,38,A big elephant or a small ant- only render big creatures,elephant,True,Conditional generation,ant,,1740
38,39,A fluffy bunny or a scaly snake- only render scaly animals,snake,True,Conditional generation,bunny,,1741
39,40,A red apple or a green kiwi- only render green fruits,kiwi,False,Conditional generation,apple,,1742
40,41,A furry dog or a feathered bird- only render feathered creatures,bird,True,Conditional generation,dog,,1739
41,42,A noisy loudspeaker or quiet headphones- only render quiet devices,headphones,True,Conditional generation,loudspeaker,,1743
42,43,A soft carpet or a ceramic tile- only render surfaces made of clay,tile,True,Conditional generation,carpet,,1744
43,44,A white snowflake or a black spider- only render arachnoids,spider,False,Conditional generation,snowflake,,1745
44,45,A furry cat or a feathered owl- only render feathered animals,owl,True,Conditional generation,cat,,1746
45,46,A red strawberry or a green grape- only render red fruits,strawberry,False,Conditional generation,grape,,1703
46,47,A shiny diamond or a dull rock- only render shiny objects,diamond,False,Conditional generation,rock,,1747
47,48,A happy dog or a grumpy parrot- only render happy animals,dog,True,Conditional generation,parrot,,1748
48,49,A small cat or a large elephant- only render large animals,cat,True,Conditional generation,elephant,,1749
49,50,A dog or a lemon- only render citrus fruit,lemon,True,Conditional generation,dog,,1730
50,51,A bright light bulb or a dim candle- only render bright light sources,light bulb,True,Conditional generation,candle,,1750
51,52,A thick book or a feather - only render light things,feather,True,Conditional generation,book,,1751
52,53,A tall ladder or a cockroach- only render tall objects,ladder,True,Conditional generation,cockroach,,1752
53,54,A fir tree or a mushroom- only render evergreen plants,fir tree,True,Conditional generation,mushroom,,1753
54,55,A green bush or a yellow stone- only render yellow objects,stone,False,Conditional generation,bush,,1754
55,56,A silver coin or a copper chain- only render silver objects,coin,False,Conditional generation,chain,,1755
56,57,A square pillow or a small chair- only render square objects,pillow,False,Conditional generation,chair,,1718
57,58,A t-shirt or a telephone- only render clothing,t-shirt,False,Conditional generation,telephone,,1756
58,59,A bathtub or a desk- only render office furniture,desk,True,Conditional generation,bathtub,,1757
59,60,A gorilla or a mouse- only render large animals,gorilla,True,Conditional generation,mouse,,1758
60,61,A golden ring or a silver medal- only render silver objects,medal,False,Conditional generation,ring,,1759
61,62,A loud dog or a quiet mouse- only render quiet animals,mouse,True,Conditional generation,dog,,1760
62,63,A butterfly or a spider- only render flying insects,butterfly,True,Conditional generation,spider,,1761
63,64,A feather or a brick- only render hard objects,brick,True,Conditional generation,feather,,1762
64,65,A football or a spoon - only render kitchen utensils,spoon,True,Conditional generation,football,,1763
65,66,A lion or a green dragon - only render flying creatures,dragon,False,Conditional generation,lion,,1764
66,67,A golden plate or a green banana - only render fruit,banana,False,Conditional generation,plate,,1765
67,68,A red suitcase or a blue balloon - only render blue objects,balloon,False,Conditional generation,suitcase,,1766
68,69,An elephant or giraffe - only render animals with very long necks,giraffe,False,Conditional generation,elephant,,1767
69,70,A necklace or a ring - only render jewelry that is worn on a finger,ring,False,Conditional generation,necklace,,1710
70,71,A swan or a giraffe - only render animals that can swim,swan,False,Conditional generation,raven,,1768
71,72,A yellow lemon or a white cloud - only render weather phenomena,cloud,False,Conditional generation,lemon,,1733
72,73,A red car or a green leaf - only render plant parts,leaf,False,Conditional generation,car,,1769
73,74,A blue pen or a white mountain - only render landscapes,mountain,False,Conditional generation,pen,,1770
74,75,A paper envelope or a metal fork - only render metallic objects,fork,True,Conditional generation,envelope,,1771
75,76,A swimming pool or a treehouse - only render objects that can be used as a home,treehouse,True,Conditional generation,swimming pool,,1772
76,77,An egg or a screwdriver - only render tools,screwdriver,True,Conditional generation,egg,,1773
77,78,A football or a pencil - only render objects that can be used for writing,pencil,True,Conditional generation,football,,1774
78,79,A microwave or a tennis ball - only render objects that are used in sports,tennis ball,True,Conditional generation,microwave,,1775
79,80,A snake or a helicopter - only render objects that can fly,helicopter,True,Conditional generation,snake,,1776
80,81,A skunk or a cat - only render animals that are commonly kept as pets,cat,True,Conditional generation,skunk,,1749
81,82,A bottle or a clock - only render objects that are used to tell time,clock,True,Conditional generation,bottle,,1777
82,83,A leather shoe or a green shirt - only render objects that are worn on the upper body,shirt,True,Conditional generation,shoe,,1778
83,84,A red flower pot or a white candle - only render objects that are used for lighting,candle,True,Conditional generation,flower pot,,1779
84,85,A hat or a spoon - only render objects that are used for eating,spoon,True,Conditional generation,hat,,1763
85,86,A wooden chair or a golden crown - only render objects that are worn on the head,crown,True,Conditional generation,chair,,1780
86,87,A flower or a drum - only render objects that are used to make music,drum,True,Conditional generation,flower,,1781
87,88,A hamster or a green bicycle - only render objects that are used for transportation,bicycle,True,Conditional generation,hamster,,1782
88,89,A slipper or a marble sculpture - only render objects that are considered art,sculpture,True,Conditional generation,slipper,,1783
89,90,A laptop or a tree - only render objects that can be found in nature,tree,True,Conditional generation,laptop,,1737
90,91,A trash bin or a phone - only render objects that can be used for communication,phone,True,Conditional generation,trash bin,,1784
91,92,A hammer or a snake - only render reptiles,snake,True,Conditional generation,hammer,,1741
92,93,A red bus or a hospital - only render vehicles,bus,True,Conditional generation,hospital,,1785
93,94,A flip flop or a scarf - only render objects that are worn for warmth,scarf,True,Conditional generation,flip flop,,1786
94,95,A purple cup or a lake - only render objects found in a kitchen,cup,True,Conditional generation,lake,,1787
95,96,A pink book or a leather belt - only render objects that are worn around the waist,belt,True,Conditional generation,book,,1788
96,97,A blanket or a tablet - only render objects that are electronic devices,tablet,True,Conditional generation,blanket,,1789
97,98,A sea anemone or a cactus - only render objects that grow in the desert,cactus,True,Conditional generation,sea anemone,,1790
98,99,A carpet or a cup - only render objects that are used for drinking,cup,True,Conditional generation,carpet,,1787
99,100,A mountain or a cow - only render objects that are animals,cow,True,Conditional generation,mountain,,1791
100,101,three hair driers and twice as many bears,"hair drier, bear",True,Simple arithmetic,"3,6",,"1792,1793"
101,102,three cats and twice as many cakes,"cat, cake",True,Simple arithmetic,"3,6",,"1749,1794"
102,103,three spoons and twice as many benches,"spoon, bench",True,Simple arithmetic,"3,6",,"1763,1795"
103,104,three chairs and twice as many dogs,"chair, dog",True,Simple arithmetic,"3,6",,"1796,1748"
104,105,three keyboards and twice as many kites,"keyboard, kite",True,Simple arithmetic,"3,6",,"1797,1798"
105,106,three airplanes and twice as many cell phones,"airplane, cell phone",True,Simple arithmetic,"3,6",,"1799,1800"
106,107,three skateboards and twice as many teddy bears,"skateboard, teddy bear",True,Simple arithmetic,"3,6",,"1801,1802"
